locationabbr,locationdesc,data_value,sex,race/ethnicityage_group,locationid,y_lat,x_lon
AK,Aleutians East,182.4,Overall,Overall,02013,55.442393334,-161.9599296
AK,Aleutians West,172.6,Overall,Overall,02016,53.648343064,-166.9175329
AK,Anchorage,255.6,Overall,Overall,02020,61.159144533,-149.1045591
AK,Bethel,343.4,Overall,Overall,02050,60.923647647,-159.7532618
AK,Denali,218.6,Overall,Overall,02068,63.67881971,-149.9608012
AK,Dillingham,363.3,Overall,Overall,02070,59.803703891,-158.1813501
AK,Fairbanks North Star,283.5,Overall,Overall,02090,64.809319444,-146.5842931
AK,Haines,225.4,Overall,Overall,02100,59.141478853,-135.5151943
AK,Hoonah-Angoon,211.5,Overall,Overall,02105,58.717908328,-137.1866487
AK,Juneau,228.9,Overall,Overall,02110,58.463936686,-134.1669508
AK,Kenai Peninsula,260.9,Overall,Overall,02122,60.193262972,-150.2807443
AK,Ketchikan Gateway,275.3,Overall,Overall,02130,55.621720661,-130.7595837
AK,Kodiak Island,268.2,Overall,Overall,02150,57.715764645,-153.8367593
AK,Kusilvak,52.2,Overall,Overall,02158,62.159507006,-163.3489828
AK,Lake and Peninsula,277.9,Overall,Overall,02164,58.65264198,-156.1838384
AK,Matanuska-Susitna,223.2,Overall,Overall,02170,62.316474745,-149.5987212
AK,Nome,442.1,Overall,Overall,02180,64.903977039,-163.9462296
AK,North Slope,278.8,Overall,Overall,02185,69.309529075,-153.3965423
AK,Northwest Arctic,404.7,Overall,Overall,02188,67.065076558,-159.7268825
AK,Petersburg,218.8,Overall,Overall,02195,56.835797242,-133.229917
AK,Prince of Wales-Hyder,279.5,Overall,Overall,02198,55.612913536,-132.7928046
AK,Sitka,148.6,Overall,Overall,02220,57.236874416,-135.2842908
AK,Southeast Fairbanks,290.3,Overall,Overall,02240,63.867730698,-143.2216055
AK,Valdez-Cordova,273.8,Overall,Overall,02261,61.535209309,-144.3399175
AK,Wrangell,265.4,Overall,Overall,02275,56.386247972,-131.7746929
AK,Yukon-Koyukuk,273.4,Overall,Overall,02290,65.503126799,-151.4114639
AK,Aleutians West,121.4,Male,Overall,02016,53.648343064,-166.9175329
AK,Anchorage,327.7,Male,Overall,02020,61.159144533,-149.1045591
AK,Bethel,485.7,Male,Overall,02050,60.923647647,-159.7532618
AK,Denali,268.1,Male,Overall,02068,63.67881971,-149.9608012
AK,Dillingham,518.5,Male,Overall,02070,59.803703891,-158.1813501
AK,Fairbanks North Star,349.8,Male,Overall,02090,64.809319444,-146.5842931
AK,Haines,326.3,Male,Overall,02100,59.141478853,-135.5151943
AK,Hoonah-Angoon,288.6,Male,Overall,02105,58.717908328,-137.1866487
AK,Juneau,329.4,Male,Overall,02110,58.463936686,-134.1669508
AK,Kenai Peninsula,333,Male,Overall,02122,60.193262972,-150.2807443
AK,Ketchikan Gateway,356.6,Male,Overall,02130,55.621720661,-130.7595837
AK,Kodiak Island,345.6,Male,Overall,02150,57.715764645,-153.8367593
AK,Kusilvak,95.5,Male,Overall,02158,62.159507006,-163.3489828
AK,Lake and Peninsula,379.4,Male,Overall,02164,58.65264198,-156.1838384
AK,Matanuska-Susitna,274.7,Male,Overall,02170,62.316474745,-149.5987212
AK,Nome,551.4,Male,Overall,02180,64.903977039,-163.9462296
AK,North Slope,440.4,Male,Overall,02185,69.309529075,-153.3965423
AK,Northwest Arctic,475,Male,Overall,02188,67.065076558,-159.7268825
AK,Prince of Wales-Hyder,354.4,Male,Overall,02198,55.612913536,-132.7928046
AK,Sitka,201.2,Male,Overall,02220,57.236874416,-135.2842908
AK,Southeast Fairbanks,345.2,Male,Overall,02240,63.867730698,-143.2216055
AK,Valdez-Cordova,327.6,Male,Overall,02261,61.535209309,-144.3399175
AK,Wrangell,336.9,Male,Overall,02275,56.386247972,-131.7746929
AK,Yukon-Koyukuk,328.2,Male,Overall,02290,65.503126799,-151.4114639
AK,Anchorage,190.9,Female,Overall,02020,61.159144533,-149.1045591
AK,Bethel,203.4,Female,Overall,02050,60.923647647,-159.7532618
AK,Denali,166.7,Female,Overall,02068,63.67881971,-149.9608012
AK,Dillingham,247.1,Female,Overall,02070,59.803703891,-158.1813501
AK,Fairbanks North Star,223,Female,Overall,02090,64.809319444,-146.5842931
AK,Haines,136.2,Female,Overall,02100,59.141478853,-135.5151943
AK,Hoonah-Angoon,135.4,Female,Overall,02105,58.717908328,-137.1866487
AK,Juneau,140.8,Female,Overall,02110,58.463936686,-134.1669508
AK,Kenai Peninsula,189.9,Female,Overall,02122,60.193262972,-150.2807443
AK,Ketchikan Gateway,193.7,Female,Overall,02130,55.621720661,-130.7595837
AK,Kodiak Island,187.5,Female,Overall,02150,57.715764645,-153.8367593
AK,Kusilvak,99.8,Female,Overall,02158,62.159507006,-163.3489828
AK,Lake and Peninsula,202.2,Female,Overall,02164,58.65264198,-156.1838384
AK,Matanuska-Susitna,183.4,Female,Overall,02170,62.316474745,-149.5987212
AK,Nome,295.3,Female,Overall,02180,64.903977039,-163.9462296
AK,North Slope,164.7,Female,Overall,02185,69.309529075,-153.3965423
AK,Northwest Arctic,292.8,Female,Overall,02188,67.065076558,-159.7268825
AK,Prince of Wales-Hyder,203,Female,Overall,02198,55.612913536,-132.7928046
AK,Sitka,99.9,Female,Overall,02220,57.236874416,-135.2842908
AK,Southeast Fairbanks,200.1,Female,Overall,02240,63.867730698,-143.2216055
AK,Valdez-Cordova,192,Female,Overall,02261,61.535209309,-144.3399175
AK,Wrangell,197.8,Female,Overall,02275,56.386247972,-131.7746929
AK,Yukon-Koyukuk,205.7,Female,Overall,02290,65.503126799,-151.4114639
AK,Anchorage,235.4,Overall,White,02020,61.159144533,-149.1045591
AK,Bethel,234.1,Overall,White,02050,60.923647647,-159.7532618
AK,Denali,221.5,Overall,White,02068,63.67881971,-149.9608012
AK,Fairbanks North Star,272.2,Overall,White,02090,64.809319444,-146.5842931
AK,Haines,204.1,Overall,White,02100,59.141478853,-135.5151943
AK,Hoonah-Angoon,196.9,Overall,White,02105,58.717908328,-137.1866487
AK,Juneau,206.6,Overall,White,02110,58.463936686,-134.1669508
AK,Kenai Peninsula,252.2,Overall,White,02122,60.193262972,-150.2807443
AK,Ketchikan Gateway,296.4,Overall,White,02130,55.621720661,-130.7595837
AK,Kodiak Island,301.7,Overall,White,02150,57.715764645,-153.8367593
AK,Lake and Peninsula,263.4,Overall,White,02164,58.65264198,-156.1838384
AK,Matanuska-Susitna,228.1,Overall,White,02170,62.316474745,-149.5987212
AK,North Slope,18.7,Overall,White,02185,69.309529075,-153.3965423
AK,Petersburg,211.2,Overall,White,02195,56.835797242,-133.229917
AK,Prince of Wales-Hyder,307.1,Overall,White,02198,55.612913536,-132.7928046
AK,Sitka,158.1,Overall,White,02220,57.236874416,-135.2842908
AK,Southeast Fairbanks,271.2,Overall,White,02240,63.867730698,-143.2216055
AK,Valdez-Cordova,251.8,Overall,White,02261,61.535209309,-144.3399175
AK,Wrangell,295.2,Overall,White,02275,56.386247972,-131.7746929
AK,Yukon-Koyukuk,234.6,Overall,White,02290,65.503126799,-151.4114639
AK,Anchorage,302,Male,White,02020,61.159144533,-149.1045591
AK,Bethel,281.6,Male,White,02050,60.923647647,-159.7532618
AK,Denali,272,Male,White,02068,63.67881971,-149.9608012
AK,Fairbanks North Star,316.4,Male,White,02090,64.809319444,-146.5842931
AK,Haines,296.5,Male,White,02100,59.141478853,-135.5151943
AK,Hoonah-Angoon,279.3,Male,White,02105,58.717908328,-137.1866487
AK,Juneau,297.1,Male,White,02110,58.463936686,-134.1669508
AK,Kenai Peninsula,309.3,Male,White,02122,60.193262972,-150.2807443
AK,Ketchikan Gateway,360.3,Male,White,02130,55.621720661,-130.7595837
AK,Kodiak Island,334.3,Male,White,02150,57.715764645,-153.8367593
AK,Lake and Peninsula,330.6,Male,White,02164,58.65264198,-156.1838384
AK,Matanuska-Susitna,281.1,Male,White,02170,62.316474745,-149.5987212
AK,North Slope,10.7,Male,White,02185,69.309529075,-153.3965423
AK,Prince of Wales-Hyder,357.8,Male,White,02198,55.612913536,-132.7928046
AK,Sitka,216.4,Male,White,02220,57.236874416,-135.2842908
AK,Southeast Fairbanks,335.6,Male,White,02240,63.867730698,-143.2216055
AK,Valdez-Cordova,311.5,Male,White,02261,61.535209309,-144.3399175
AK,Wrangell,371.9,Male,White,02275,56.386247972,-131.7746929
AK,Yukon-Koyukuk,245.9,Male,White,02290,65.503126799,-151.4114639
AK,Anchorage,174.6,Female,White,02020,61.159144533,-149.1045591
AK,Bethel,177.4,Female,White,02050,60.923647647,-159.7532618
AK,Denali,166.9,Female,White,02068,63.67881971,-149.9608012
AK,Fairbanks North Star,222.3,Female,White,02090,64.809319444,-146.5842931
AK,Haines,120.6,Female,White,02100,59.141478853,-135.5151943
AK,Hoonah-Angoon,125.9,Female,White,02105,58.717908328,-137.1866487
AK,Juneau,125.5,Female,White,02110,58.463936686,-134.1669508
AK,Kenai Peninsula,176.4,Female,White,02122,60.193262972,-150.2807443
AK,Ketchikan Gateway,227,Female,White,02130,55.621720661,-130.7595837
AK,Kodiak Island,196.1,Female,White,02150,57.715764645,-153.8367593
AK,Lake and Peninsula,192.2,Female,White,02164,58.65264198,-156.1838384
AK,Matanuska-Susitna,173.3,Female,White,02170,62.316474745,-149.5987212
AK,Prince of Wales-Hyder,245.5,Female,White,02198,55.612913536,-132.7928046
AK,Southeast Fairbanks,196.8,Female,White,02240,63.867730698,-143.2216055
AK,Valdez-Cordova,175,Female,White,02261,61.535209309,-144.3399175
AK,Wrangell,187.5,Female,White,02275,56.386247972,-131.7746929
AK,Yukon-Koyukuk,204,Female,White,02290,65.503126799,-151.4114639
AK,Anchorage,353.4,Overall,Black,02020,61.159144533,-149.1045591
AK,Kenai Peninsula,318.7,Overall,Black,02122,60.193262972,-150.2807443
AK,Matanuska-Susitna,310.3,Overall,Black,02170,62.316474745,-149.5987212
AK,Valdez-Cordova,348.8,Overall,Black,02261,61.535209309,-144.3399175
AK,Anchorage,349.1,Male,Black,02020,61.159144533,-149.1045591
AK,Kenai Peninsula,296.6,Male,Black,02122,60.193262972,-150.2807443
AK,Matanuska-Susitna,297.4,Male,Black,02170,62.316474745,-149.5987212
AK,Anchorage,304.6,Female,Black,02020,61.159144533,-149.1045591
AK,Kenai Peninsula,299.4,Female,Black,02122,60.193262972,-150.2807443
AK,Matanuska-Susitna,298.1,Female,Black,02170,62.316474745,-149.5987212
AK,Anchorage,199,Overall,Hispanic,02020,61.159144533,-149.1045591
AK,Fairbanks North Star,145.5,Overall,Hispanic,02090,64.809319444,-146.5842931
AK,Kenai Peninsula,168.6,Overall,Hispanic,02122,60.193262972,-150.2807443
AK,Matanuska-Susitna,177.1,Overall,Hispanic,02170,62.316474745,-149.5987212
AK,Valdez-Cordova,177.9,Overall,Hispanic,02261,61.535209309,-144.3399175
AK,Anchorage,212.1,Male,Hispanic,02020,61.159144533,-149.1045591
